TheftDate,TheftTime
1/1/2016,12:35 AM
1/8/2016,7:45 PM
2/5/2016,7:53 PM
2/11/2016,7:05 PM
3/21/2016,6:13 PM
3/25/2016,5:05 PM
3/30/2016,7:26 PM
3/31/2016,5:32 AM
4/4/2016,9:26 PM
4/6/2016,5:49 PM
4/11/2016,8:05 PM
4/13/2016,5:02 PM
4/14/2016,8:30 PM
4/15/2016,9:54 PM
4/18/2016,7:24 PM
4/19/2016,9:00 AM
4/26/2016,6:50 PM
5/2/2016,1:03 AM
5/3/2016,8:38 PM
5/4/2016,6:40 PM
5/5/2016,2:49 AM
6/7/2016,5:01 PM
6/9/2016,7:38 PM
6/26/2016,8:29 PM
7/12/2016,8:37 PM
7/16/2016,7:39 PM
8/10/2016,11:46 AM
8/14/2016,7:44 PM
9/13/2016,6:45 PM
9/21/2016,3:33 AM
9/26/2016,7:52 PM
10/3/2016,4:54 PM
10/4/2016,6:48 PM
10/5/2016,11:49 PM
10/20/2016,7:07 PM
10/20/2016,8:35 PM
10/21/2016,10:38 AM
10/24/2016,5:53 PM
10/25/2016,6:25 PM
10/28/2016,1:28 PM
10/31/2016,10:48 PM
11/2/2016,5:48 PM
11/7/2016,3:48 AM
11/8/2016,7:50 PM
11/10/2016,2:13 AM
11/21/2016,5:02 PM
11/24/2016,8:20 PM
12/2/2016,12:00 PM
12/5/2016,7:44 PM
12/9/2016,4:25 PM
12/9/2016,8:12 PM
12/10/2016,2:22 PM
12/12/2016,4:40 PM
12/13/2016,6:00 PM
12/14/2016,4:35 PM
12/16/2016,7:11 PM
12/20/2016,11:39 PM
12/21/2016,5:06 PM
12/22/2016,3:29 PM
12/26/2016,5:44 PM
12/27/2016,6:16 PM
12/30/2016,4:04 AM
12/30/2016,9:20 AM
1/1/2017,6:37 PM
1/2/2017,7:34 PM
1/12/2017,6:00 PM
1/14/2017,9:37 PM
1/17/2017,6:38 PM
1/24/2017,1:06 PM
1/25/2017,8:57 PM
1/27/2017,6:19 PM
2/13/2017,7:13 PM
2/14/2017,8:47 PM
2/22/2017,6:50 PM
3/2/2017,7:34 PM
3/11/2017,4:29 PM
3/12/2017,7:00 PM
3/19/2017,10:01 PM
4/25/2017,8:55 PM
4/27/2017,6:09 PM
5/17/2017,6:35 PM
5/24/2017,9:06 AM
6/6/2017,7:33 PM
6/14/2017,8:57 PM
7/4/2017,7:16 PM
7/12/2017,6:10 PM
7/18/2017,5:13 PM
7/20/2017,4:56 PM
7/24/2017,10:55 PM
7/26/2017,6:39 PM
8/4/2017,7:05 PM
8/7/2017,7:12 AM
8/15/2017,10:05 AM
8/19/2017,8:15 PM
8/20/2017,1:30 PM
9/8/2017,4:55 AM
9/10/2017,2:49 PM
10/8/2017,6:27 PM
10/11/2017,8:16 PM
10/29/2017,5:23 PM
11/5/2017,7:10 PM
11/7/2017,2:56 PM
11/12/2017,5:14 PM
11/13/2017,9:11 PM
12/8/2017,6:47 PM
12/11/2017,3:05 PM
12/14/2017,2:12 AM
12/23/2017,11:00 PM
12/24/2017,6:15 PM
